小米（MI）,小米 红米6A 全网通版 2GB内存 樱花粉 16GB 移动联通电信4G手机 双卡双待 拍照手机,7652149,549.0,549.00
华为（HUAWEI）,荣耀畅玩7C 全面屏手机 全网通标配版 3GB+32GB 魅焰红 移动联通电信4G手机 双卡双待,7080822,899.0,899.00
小米（MI）,小米 红米6A 全网通版 2GB内存 铂银灰 16GB 移动联通电信4G手机 双卡双待 拍照手机,7437784,549.0,549.00
小米（MI）,小米 红米6 3GB+32GB 樱花粉 全网通4G手机 双卡双待,7651905,729.0,729.00
小米（MI）,小米 红米5 Plus 全面屏拍照手机 全网通版 4GB+64GB 玫瑰金 移动联通电信4G手机 双卡双待,5835281,999.0,1049.00
小米（MI）,小米 红米6A AI美颜 3GB+32GB 流沙金 全网通4G手机 双卡双待,8264403,699.0,699.00
Apple,Apple iPhone 8 Plus (A1864) 256GB 深空灰色 移动联通电信4G手机,5089257,6899.0,6899.00
魅族（MEIZU）,魅族 魅蓝 Note6 4GB+64GB 全网通公开版 孔雀青 移动联通电信4G手机 双卡双待,5148521,999.0,999.00
华为（HUAWEI）,荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB  幻影紫 全网通 移动联通电信4G 双卡双待,7348369,2398.0,2399.00
华为（HUAWEI）,荣耀 V10全网通 标配版 4GB+64GB 极光蓝 移动联通电信4G全面屏手机 双卡双待,5853591,1899.0,1899.00
Apple,Apple iPhone 8 Plus (A1864) 256GB 金色 移动联通电信4G手机,5089271,6899.0,6899.00
华为（HUAWEI）,荣耀 畅玩7X 4GB+128GB 全网通4G全面屏手机 尊享版 幻夜黑,5304529,1745.0,1799.00
华为（HUAWEI）,荣耀9i 4GB+64GB 碧玉青 移动联通电信4G全面屏手机 双卡双待,7479804,1389.0,1399.00
小米（MI）,小米 红米5 Plus 全面屏拍照手机 4GB+64GB 黑色 全网通4G手机 双卡双待,5911944,1099.0,1049.00
华为（HUAWEI）,荣耀9青春版 全网通 高配版 4GB+32GB 海鸥灰 移动联通电信4G全面屏手机 双卡双待,6055052,1360.0,1399.00
一加,一加手机6 8GB+128GB 琥珀红 全面屏双摄游戏手机 全网通4G 双卡双待,7834050,3599.0,3599.00
Apple,Apple iPhone 6s Plus (A1699) 128G 深空灰 色 移动联通电信4G手机,1861101,3590.0,3599.00
vivo,vivo Z1极光特别版 新一代全面屏AI双摄手机 6GB+64GB  移动联通电信全网通4G手机 双卡双待,7920222,1763.0,1898.00
华为（HUAWEI）,荣耀 畅玩7X 4GB+128GB 全网通4G全面屏手机 尊享版 极光蓝,5557742,1745.0,1799.00
华为（HUAWEI）,荣耀 V10 高配版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,5853579,2299.0,2199.00
小米（MI）,小米 红米6 Pro AI美颜双摄 3GB+32GB 曜石黑 全网通4G手机 双卡双待,7437560,949.0,949.00
360,360手机 N6 全网通 6GB+64GB 燧石黑 移动联通电信4G手机 双卡双待,5912045,1199.0,1199.00
飞利浦（PHILIPS）,飞利浦（PHILIPS）E171L 曜石黑 直板按键 移动联通 老人手机 老年功能机,6305258,228.0,238.00
小米（MI）,小米6X 全网通 4GB+64GB 赤焰红 移动联通电信4G手机 双卡双待 智能手机 拍照手机,7120004,1399.0,1399.00
魅族（MEIZU）,魅族 魅蓝A5 移动定制版 2GB+16GB 皓月银 移动联通4G手机 双卡双待,4436759,449.0,449.00
Apple,Apple iPhone 8 Plus 256GB 红色特别版 移动联通电信4G手机,6784504,6999.0,7199.00
华为（HUAWEI）,华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G手机 双卡双待,8240587,2999.0,2999.00
Apple,Apple iPhone 8 Plus (A1864) 256GB 银色 移动联通电信4G手机,5475612,6899.0,6899.00
诺基亚（NOKIA）,新诺基亚（NOKIA）105 蓝色 直板按键 移动联通2G手机 老人手机 学生备用功能机,4720747,139.0,149.00
华为（HUAWEI）,荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB  海鸥灰 全网通 移动联通电信4G 双卡双待,7348345,2398.0,2399.00
华为（HUAWEI）,荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB 铃兰白 全网通 移动联通电信4G 双卡双待,8734237,2599.0,2399.00
小米（MI）,小米6X 全网通 4GB+64GB 流沙金 移动联通电信4G手机 双卡双待 智能手机 拍照手机,7333907,1399.0,1399.00
小米（MI）,小米 红米6 4GB+64GB 铂银灰 全网通4G手机 双卡双待,8051104,899.0,899.00
Apple,Apple iPhone 6s Plus (A1699) 128G 金色 移动联通电信4G手机,1861099,3599.0,3599.00
华为（HUAWEI）,荣耀 畅玩7X 4GB+64GB 全网通4G全面屏手机 高配版 铂光金,5663898,1569.0,1599.00
华为（HUAWEI）,华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB +128GB 极光色 全网通移动联通电信4G手机 双卡双待,6946625,4888.0,4988.00
华为（HUAWEI）,荣耀10 GT游戏加速 AIS手持夜景  6GB+128GB 游戏手机 幻影蓝 全网通 移动联通电信4G 双卡双待,7348365,2798.0,2799.00
华为（HUAWEI）,荣耀 畅玩7X 4GB+64GB 全网通4G全面屏手机 高配版 幻夜黑,5464313,1569.0,1599.00
小米（MI）,小米 红米6 4GB+64GB 樱花粉 全网通4G手机 双卡双待,8051102,899.0,899.00
小米（MI）,小米Max2 大屏手机 4GB+64GB 金色 全网通4G手机 双卡双待,5159242,1199.0,1199.00
小米（MI）,小米 红米5 Plus 全面屏拍照手机 全网通版 4GB+64GB 浅蓝色 移动联通电信4G手机 双卡双待,5835299,1099.0,1049.00
华为（HUAWEI）,荣耀 畅玩7X 4GB+64GB 全网通4G全面屏手机 高配版 极光蓝,5464261,1569.0,1599.00
华为（HUAWEI）,荣耀 畅玩7X 4GB+64GB 全网通4G全面屏手机 高配版 魅焰红,5842289,1569.0,1599.00
