name,type,price,state,position,area
中粮祥云里,底商,35000元/平,在售,金牛-西华街道侯家桥路288号（西华大道与侯家桥路交汇处）,--
今日润嶺,底商,20000元/平,在售,金堂-成都市金堂县赵镇观岭大道2号,--
同森锦熙,商铺,25000元/平,在售,郫都-广场路（技师学院对面）,--
建发金沙里,商业类,14000元/平,在售,青羊-蜀辉路588号,--
中铁卓越中心,写字楼,11000元/平,在售,天府新区-成都天府新区中央商务区宁波路东段377号,--
龙光世纪中心,商业类,12000元/平,在售,成华-成都市成华区华林三路10号,--
鲁能城二期,底商,55000元/平,在售,成华-跳蹬河槐树店路26号（成洛大道与中环路交汇处）,--
恒大曹家巷广场三期,商业类,25000元/平,在售,金牛-一环内马鞍东路与府青路交汇处,建面 160m²
蓝润蓝客城,底商,20000元/平,在售,成华-熊猫大道蓝润蓝客城,--
香城润园,底商,15000元/平,在售,新都-新民镇新河西街（大成街旁）,--
邻里中央,底商,25000元/平,在售,武侯-晋吉北路66号,--
黄龙溪谷,别墅,550万/套,在售,彭山-剑南大道南延线黄龙大道四段(黄龙古镇旁),建面 168~195m²
峨眉青庐,别墅,410万/套,在售,峨眉山市-乐山市名山南路西南交大东大门对面,建面 410m²
蜀鑫西TOWN,底商,价格待定,在售,郫都-国宁东路499号,--
融创NANO公馆,商业类,17000元/平,售罄,天府新区-益州大道和天府五街交汇处,--
保利锦江里,商业类,15000元/平,售罄,天府新区-天府大道与天府五街交汇处（锦江旁）,--
桂湖名城二期,住宅,5000元/平,售罄,新都-电子路(原红光七分厂),建面 80~90m²
润弘丽都,住宅,4500元/平,售罄,郫都-郫筒镇和平南三街399号,--
金科中心,商业类,25万/套,售罄,成华-川陕立交旁荆翠西路,--
未来中心,商业类,20000元/平,售罄,成华-一环路内侧与蜀都大道交界处,--
嘉裕第六洲,别墅,314万/套,售罄,崇州-羊马镇崇阳大道2199号(金马湖大桥旁),--
北大资源颐和雅郡一期,住宅,50万/套,售罄,新津-北大资源颐和雅郡,建面 95m²
中冶田园世界,住宅,5100元/平,售罄,郫都-郫筒镇中信大道四段968号,--
杜鹃城,住宅,36万/套,售罄,郫都-安德镇政府路1号（安德政府对面）,建面 131m²
城南逸家,别墅,2000万/套,售罄,双流-西航港街道川大路二段1号,建面 203~643m²
蓝光T5,商业类,12000元/平,售罄,双流-西航港街道黄河中路二段388号,--
