name,type,price,state,position,area
龙山华府,住宅,15000元/平,在售,小榄镇-小榄龙山路68号,建面 209~276m²
海都广场,住宅,8500元/平,在售,古镇镇-古镇镇中兴大道北1号,建面 81~119m²
碧桂园·天誉,住宅,12500元/平,待售,横栏镇-中山市横栏镇新天二路（横栏中心幼儿园旁）,建面 115~140m²
蓝钻寓见,住宅,13500元/平,在售,石岐区-悦来南路31号,建面 38~40m²
华盈四季蓝天,住宅,12500元/平,在售,西区-广丰大道51号,建面 71~113m²
越秀可逸豪苑,住宅,12500元/平,在售,东升镇-坦背西二马路153号,建面 89~118m²
时代御京新城,住宅,10500元/平,待售,东升镇-坦背(中江高速东升出入口南向500米),建面 53~157m²
大信新都公馆,商业类,11000元/平,在售,阜沙镇-阜沙镇阜沙大道63号（阜沙镇政府对面）,建面 33~70m²
尚城三期,住宅,13000元/平,在售,火炬-火炬开发区孙文东路839号（丽港城旁）,建面 51~66m²
天奕国际公馆,商业类,18000元/平,在售,东区-中山六路与长江路交汇处（海港城旁）,--
富元君澳豪庭,住宅,8700元/平,在售,横栏镇-横栏镇顺兴南路旁（壹加壹斜对面）,建面 118m²
鹿茵华庭,住宅,11000元/平,待售,横栏镇-顺兴南路39号,--
小琅环壹号,别墅,价格待定,在售,三乡镇-小琅环公园,建面 454~670m²
金映时代花园,住宅,8500元/平,在售,三角镇-三角镇金三大道与中南路交会处,建面 73m²
欧雅公馆,商铺,14000元/平,在售,石岐区-博爱二路2号,--
世源天际阳光,住宅,9500元/平,在售,三角镇-福源北路2号,建面 86m²
汇美豪庭,住宅,11000元/平,在售,火炬-会展东路3号,建面 29~44m²
富业豪庭,住宅,16000元/平,在售,西区-富华道16号（富业广场内）,建面 45~57m²
枫林印象园,别墅,价格待定,在售,三乡镇-三乡镇鸦岗村“罗围埔” （景怡花园旁）,建面 480m²
观景峯,别墅,价格待定,在售,三乡镇-谷都大道888号,建面 140~316m²
华立普罗旺斯,别墅,价格待定,在售,板芙镇-金钟村滨江路,建面 213~230m²
畔山中心城,住宅,12500元/平,在售,三乡镇-桂新路（中山温泉高尔夫旁）,建面 91~132m²
华炬珑玥壹号,住宅,8500元/平,在售,阜沙镇-阜港西路29号（罗松小学旁）,建面 79~114m²
融创香山府,住宅,9000元/平,在售,阜沙镇-埠港西路2号,建面 76~111m²
华策凤凰美域,住宅,8000元/平,在售,三角镇-三角镇金三大道与福泽路交汇处,建面 33~45m²
大益尚悦,商业类,9700元/平,在售,东凤镇-兴华中路,建面 74m²
雅居乐山海郡,住宅,15000元/平,待售,南朗镇-翠亨新区翠亨大道,--
润颐居,住宅,12000元/平,在售,三乡镇-泉眼村润泉大街8号,建面 92m²
华发观山水,住宅,9300元/平,在售,三乡镇-文华西路222号,建面 63m²
中庄翠庭,住宅,13500元/平,在售,西区-隆平路10号,建面 79~120m²
银马茵宝花园,住宅,8000元/平,在售,三角镇-金三大道东39号(三角旧车站对面）,建面 89~119m²
裕龙君汇,住宅,14000元/平,在售,火炬-中山市火炬开发区东阳南路10号,建面 84~131m²
豪逸御华庭,住宅,17000元/平,在售,石岐区-石岐区岐关西路68号,--
合生帝景城,住宅,14000元/平,在售,五桂山-永安三路6号,建面 95~129m²
华鸿榄悦轩,住宅,12000元/平,在售,小榄镇-宝源路68号,建面 122~144m²
万科金域蓝湾,住宅,13500元/平,在售,石岐区-青溪路88号,建面 85~119m²
君汇尚品,住宅,7800元/平,在售,东升镇-兆益路7号,建面 97~112m²
幸福华庭,住宅,10000元/平,在售,古镇镇-同兴路101号（城轨古镇站旁）,建面 52~75m²
文信朗庭,住宅,10500元/平,在售,南朗镇-南岐南路与龙起路交界处（泮沙小桥旁）,建面 94~118m²
御峰臻品,住宅,19000元/平,在售,东区-长江路与兴文路交汇处,建面 200m²
信业尚悦湾,住宅,8500元/平,在售,三角镇-大骏路38号,建面 85~115m²
朝阳花地,别墅,价格待定,在售,东升镇-同乐大街三路1号,建面 255m²
三乡碧桂园,住宅,13000元/平,在售,三乡镇-中山三乡镇105国道三乡交警转盘右侧,建面 126~141m²
港航华庭,住宅,11500元/平,在售,火炬-兴业路36号,建面 90~122m²
菊城国际广场,商业类,10000元/平,在售,小榄镇-环镇北路与竹源路交汇处,建面 43~60m²
力高澜湖峯景,住宅,10000元/平,在售,黄圃镇-环山东路2号,建面 72~111m²
宏联美誉名座,住宅,7600元/平,在售,东升镇-坦背为民路20号,建面 109~128m²
碧桂园·御府,住宅,14000元/平,在售,古镇镇-古镇大信新都汇旁（古神公路、新兴大道交汇处）,建面 104~185m²
懿峯公馆,商铺,90万/套,在售,西区-中山市西区翠峰路,建面 61m²
远洋世家,住宅,335万/套,在售,东区-富嘉路9号,建面 119~176m²
泰富华庭,住宅,价格待定,待售,火炬-东桠村牌坊旁,--
港汇城,商业类,价格待定,待售,港口镇-港口镇世纪东路2号,--
中泰上境,住宅,价格待定,待售,港口镇-金港路,--
新光天地,住宅,价格待定,待售,南区-城南五路5号,--
君华硅谷,住宅,价格待定,待售,火炬-博爱七路依云路1号,--
泰瑞居,住宅,价格待定,待售,火炬-九沙路7号（九沙路与东镇东一路交汇处，卓雅外国语学校旁）,--
碧桂园天玺湾,住宅,14000元/平,售罄,石岐区-博爱二路中山二桥南侧,建面 98~127m²
绿洲华庭,住宅,9000元/平,售罄,三角镇-民众镇阳光大道1号,建面 116m²
远洋·翡丽郡,住宅,10000元/平,售罄,南头镇-南头镇升平南路23号,建面 78~118m²
汇豪领逸,住宅,9300元/平,售罄,沙溪镇-岐江公路岭后亨路段68号,建面 102~110m²
幸福码头,商铺,15000元/平,售罄,火炬-中山市开发区火炬大道（中山港壹加壹西行600米）,建面 35m²
尚湖轩二期,商铺,14000元/平,售罄,西区-翠虹路32号,--
上乘世纪公园,住宅,14000元/平,售罄,港口镇-世纪西路1号(湿地公园旁),建面 47~114m²
