name,type,price,state,position,area
保亿丽景紫园,住宅,9700元/平,在售,北碚-蔡家岗镇嘉运大道97号（嘉运大道和同康路交汇处西南方向）,套内 110m²
绿地海域,住宅,5800元/平,在售,涪陵-涪陵滨江路新五中旁,套内 67~195m²
重庆总部城,写字楼,20000元/平,在售,渝中-渝中区经纬大道887号,--
英利国际广场,写字楼,13000元/平,在售,渝中-大坪正街19号,--
华润万象里,商铺,25000元/平,在售,九龙坡-谢家湾华润中心（华润大厦对面）,--
协信星澜汇二期,商铺,17000元/平,在售,巴南-巴南区龙洲大道老气象局前行500米,--
雅居乐御宾府,商业类,8600元/平,在售,大渡口-双山路与迎宾大道交界处（双山公园旁）,套内 31~45m²
中铁万国城,商铺,25000元/平,在售,南岸-茶园东西大道（轨道6号线刘家坪轻轨站旁）,套内 48~236m²
朝天门国际商贸城,商铺,20000元/平,在售,南岸-迎龙镇绕城高速公路迎龙立交,--
中航九悦荟,商业类,8500元/平,在售,九龙坡-火炬大道（格力厂对面）,套内 27~34m²
天盈摩咖,商业类,12000元/平,在售,南岸-白鹤路45号(红绿灯下行200米),套内 33m²
融科金开中心,写字楼,11000元/平,在售,渝北-北部新区鸳鸯金开大道1239号,--
美全世纪城,商铺,30000元/平,在售,南岸-南岸南坪桃源路（美心公园正对面）,--
恒大中渝广场,写字楼,16000元/平,在售,渝北-新牌坊红锦大道86号（科技大厦旁）,--
泽科弹子石中心,商铺,49000元/平,在售,南岸-弹子石（朝天门大桥旁）,--
两岸首座,写字楼,25000元/平,在售,江北-重庆市江北区五里店街道五江路22号,--
升伟中环广场,写字楼,11000元/平,在售,渝中-虎头岩歇虎路11号（中百超市旁）,--
鲁能泰山7号,住宅,14000元/平,在售,渝北-中央公园旁,套内 91m²
宝嘉花与山,商业类,10000元/平,在售,沙坪坝-大学城西路 (重庆大学虎溪花园旁),套内 47m²
时光城,写字楼,17000元/平,在售,江北-重柏树堡立交桥旁（SM广场对面）,--
圣名世贸城,商铺,40万/套,在售,渝北-回兴服装城大道41号青岗坪立交旁,--
大雅金开国际,写字楼,11000元/平,在售,渝北-北部新区金开大道1222号（园博园轻轨站旁）,--
君和凤鸣广场,商业类,9100元/平,在售,沙坪坝-凤天大道136号（轨道环线凤鸣山站旁）,套内 29m²
弘悦101,住宅,14500元/平,在售,九龙坡-二郎（原火炬大道101号）渝高中学旁,套内 68m²
信达滨江蓝庭,商业类,10000元/平,在售,沙坪坝-石井坡地铁站旁,套内 26m²
鲁能九龙花园,商业类,11000元/平,在售,九龙坡-盘龙新城火炬大道9号(隆鑫西城汇对面),套内 25~37m²
江厦星光汇,商业类,12500元/平,在售,九龙坡-石杨路18号,套内 31~39m²
西城上街,商业类,8800元/平,在售,大渡口-巴国城华园路二郎电大旁,套内 25~30m²
东原中心写字楼,写字楼,13000元/平,在售,江北-鸿恩寺红石路段(大石坝公交站附近),--
中房那里,底商,50000元/平,在售,九龙坡-杨家坪西郊路紧邻轻轨2号线动物园站,--
重庆万达文化旅游城,底商,150万/套,在售,沙坪坝-西永轨道一号线（微电园站旁）,--
新鸥鹏教育城巴南,底商,22000元/平,在售,巴南-金竹工业园纵一线（金竹轻轨站旁）,--
融创欧麓花园城剑桥郡,底商,12000元/平,在售,南岸-江南新城（南岸区府向南车行5分钟）,--
