name,type,price,state,position,area
天房麗山,住宅,42000元/平,在售,河西-台儿庄路与海津大桥交口西侧,建面 101~269m²
天房璟悦府,住宅,23000元/平,在售,北辰-北辰道北侧（刘园地铁站西行600米）,建面 83~122m²
鸿坤原乡半岛,住宅,15000元/平,待售,武清-天津市武清区建设南路水城展馆向南约500米,建面 210m²
中央公馆,商业类,41000元/平,在售,河西-吴家窑大街19号(佟楼附近，儿童医院对过),建面 50~67m²
金地艺城瑞府,住宅,18000元/平,在售,津南-天津大道咸水沽东出口西与津沽线交口(东张庄808公交总站北500米),建面 220m²
北岸中心,住宅,35000元/平,在售,红桥-光荣道与咸阳北路交口西北侧,建面 92~172m²
万科东第,住宅,38000元/平,在售,西青-卫津南路西侧中医一附院（南院）旁,建面 150~190m²
首创悦山郡,住宅,20000元/平,在售,津南-津沽路与鑫怡路交口北行400米,建面 97~133m²
红山壹号院,别墅,317万/套,在售,东丽-弘顺道与映春路交口,建面 334~349m²
红星国际广场,写字楼,80万/套,在售,河东-津滨大道160号（河东红星美凯龙后侧）,建面 56~76m²
荣泰广场,商铺,30000元/平,在售,东丽-环河东路与东四道交口,--
融创臻园,住宅,23500元/平,在售,北辰-淮东路和沁河北道交口,建面 101~122m²
正荣府,住宅,22000元/平,在售,北辰-淮东路与潞江东路交口,建面 84~150m²
北大资源阅公馆,商业类,25000元/平,在售,河西-洪泽路与黑牛城道交口东南侧,建面 50~77m²
泽信公馆,住宅,14500元/平,在售,武清-新城南东路（新一中东侧）,建面 86~134m²
四季汇,商业类,88000元/平,在售,和平-和平区赤峰道138号,建面 149~278m²
新城吾悦广场,住宅,15000元/平,在售,津南-津南环线与二八线交口大白鲨酒店对面,建面 110~140m²
滨海浙商蓝庭国际,商铺,30000元/平,在售,东丽-津塘公路419号瑞典宜家北侧（东丽开发区轻轨站）,--
中海复兴新天地,底商,30000元/平,在售,河西-黑牛城道与洞庭路交口,--
澜湾广场,商业类,78万/套,在售,西青-卉锦道北侧,建面 40~60m²
光耀东方文化广场,商业类,14000元/平,在售,塘沽-响螺湾商务区迎宾大道,建面 57~64m²
天津国际进口商品城,商铺,25万/套,在售,静海-朝阳道新湖广场北门3栋楼(新客运站对面）,--
龙湖天宸原著,住宅,21000元/平,在售,津南-海教园同砚路南开大学南门向东500米,建面 125m²
珠江京津国际城,住宅,10000元/平,在售,宝坻-津蓟高速九园出口向东2公里,建面 97~154m²
首创国际半岛,别墅,26000元/平,在售,武清-京津高速永乐站收费口前行300米,建面 397~538m²
安田心屿,住宅,13500元/平,在售,宝坻-宝坻区广阳路与望月路交口,建面 101~130m²
东亚风尚国际,写字楼,20000元/平,在售,河东-新开路西侧（育才中学对面）,--
首创禧悦汇,写字楼,13000元/平,在售,津南-梨双公路与领世路交口,建面 46m²
融创中心,写字楼,160万/套,在售,南开-红旗路与鞍山西道交口南行200米,建面 44~64m²
建邦时代汇,写字楼,15000元/平,在售,东丽-华明镇弘贯道与辅仁路交口,--
中国塘,商铺,16000元/平,在售,塘沽-塘沽中央大道与新港四号路交汇处,--
万科紫台,商铺,31000元/平,在售,塘沽-第一大街西侧环渤海国际家居旁,--
恒大翡翠华庭,住宅,10700元/平,在售,东丽-东丽湖温泉旅游度假区，东丽之光大道北侧，欢乐谷以西,建面 87~88m²
富华梅江公馆,写字楼,20000元/平,在售,河西-郁江道与五号堤路交口,--
仁爱团泊湖云燕庄园,写字楼,200万/套,在售,静海-团泊新城东区泽水南路与中央大道交口,--
蘭栖墅,别墅,580万/套,在售,东丽-弘贯东道与荣达路交口,建面 300~404m²
沽上江南,商铺,40000元/平,在售,津南-咸水沽红旗路以东建国大街以北,--
中骏雍景府,住宅,22000元/平,在售,西青-张家窝镇文苑路与枣林大道交口风雅路西侧,建面 99~110m²
联发红郡,住宅,18000元/平,在售,西青-张家窝高泰路与香海道交口,建面 120~135m²
红城,住宅,37000元/平,在售,河东-卫国道与红星路交口（顺驰桥下）,建面 72~131m²
合盛嘉园,住宅,7800元/平,在售,静海-团王线与津淄公路交叉南行1000米,建面 85~129m²
科创慧谷天津园区,写字楼,13000元/平,在售,东丽-东丽区华明示范镇弘顺东侧,--
泽信金汇湾,商铺,16800元/平,在售,武清-武清新城京津公路东运通广场北侧（武清客运站对面）,--
金辉·优步湖畔,住宅,10500元/平,在售,塘沽-天津市滨海高新区渤龙湖市民广场北侧,建面 69~79m²
首创大河公馆,商业类,26000元/平,在售,河北-河北天泰路与津浦北路交口西侧400米,建面 52~77m²
星河领御,住宅,12500元/平,在售,静海-天津市静海区团泊新城区东区仁爱东道西侧、天水路北侧,建面 88~115m²
东丽湖万科城,商铺,23000元/平,在售,东丽-东丽区东丽湖路右转东丽之光大道,--
鼎福汇,住宅,40000元/平,在售,南开-西南角南开三马路与南马路交口,建面 61~72m²
融创·滨海中心,写字楼,12000元/平,在售,塘沽-滨海新区响螺湾商务区,--
万科南湖郡,别墅,14500元/平,在售,武清-天津武清区南湖生态区天和路东侧,建面 230m²
亿利国际生态岛,别墅,23000元/平,在售,滨海新区-滨海新区中新生态城中生大道与静湖南路交口,建面 158~175m²
佳汇摩尔,商铺,19000元/平,在售,武清-武清区京津公路华北城佳汇摩尔营销中心,--
莱蒙国际公馆,商业类,8000元/平,在售,静海-静海县北华路与良徐路交口,建面 50m²
静壹城,别墅,价格待定,在售,静海-静海北华路与春曦道交口西南侧,建面 258m²
新城樾风华,住宅,15000元/平,待售,北辰-北辰区长瀛御龙湾新都汇广场,建面 90~147m²
紫金府,住宅,价格待定,待售,河北-建昌道与群芳路交口,建面 96~156m²
贻成水木清华,别墅,600万/套,售罄,塘沽-滨海森林公园，滨海国际高尔夫球场旁,建面 230~280m²
中海城市广场,住宅,50000元/平,售罄,河东-海河东路与九经路交口,--
御河园,住宅,6500元/平,售罄,静海-陈官屯镇陈官屯小学旁,--
天津恒大御景湾,住宅,21000元/平,售罄,北辰-洛河道与汀西路交口西侧,建面 109~113m²
富贾花园,商业类,45000元/平,售罄,河北-中山北路17号,建面 373~376m²
东澳广场,商业类,8200元/平,售罄,武清-下朱庄街京津公路东侧,--
富海公馆,商业类,180万/套,售罄,河北-中山路与日纬路交口,--
滨海湖,别墅,1800万/套,售罄,塘沽-杨北公路洪排河桥处沿滨海湖路北行（原黄港水库）,--
滨海智谛山,住宅,18000元/平,售罄,塘沽-泰达大街与洞庭路交口西南角,建面 88~146m²
唐望府,住宅,108万/套,售罄,塘沽-津塘公路与新北路交口处,--
翡翠蓝湾,住宅,60万/套,售罄,武清-上马台镇政府西300米,建面 43m²
湯臣津湾一品,住宅,50000元/平,售罄,和平-赤峰道8号,建面 296~371m²
财富绿道丹庭,住宅,38000元/平,售罄,河北-南口路与喜峰路交口,--
水墨兰庭,住宅,15000元/平,售罄,津南-小站镇红旗路小站一中东侧,建面 88~111m²
尚港华府,住宅,8800元/平,售罄,武清-汉沽港高王路东侧,--
